,SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE,SCH_TYPE_TEXT,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state,state_fips,tiger_line,tract,zipcode
76,2017-2018,42,PENNSYLVANIA,PA,Vision Academy Charter School,Vision Academy Charter School,1,,PA-125233517,4200885,PA-125233517-8338,420088507564,4207564,41 E Baltimore Avenue,,,Lansdowne,PA,19050,,41 E Baltimore Avenue,,,Lansdowne,PA,19050,,(484)466-6341,http://www.visioncharterschool.org/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,125239652.0,William Penn SD,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported,41 E Baltimore Avenue,,Lansdowne,,,"41 E Baltimore Avenue, Lansdowne, PA, 19050",76,,Tie,,,,,PA,,,,19050
77,2017-2018,42,PENNSYLVANIA,PA,KIPP West Philadelphia CS,KIPP West Philadelphia CS,1,,PA-126515492,4200888,PA-126515492-8363,420088807590,4207590,2412 S 62nd Street,,,Philadelphia,PA,19142,,2412 S 62nd Street,,,Philadelphia,PA,19142,,(267)787-5700,http://www.kippphiladelphia.org/schools/kipp-west-philadelphia-elementary-academ,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,2412 S 62nd Street,5008,Philadelphia,"-75.22772,39.925854",101,"2412 S 62nd Street, Philadelphia, PA, 19142",77,Exact,Match,39.925854,-75.22772,"2412 S 62ND ST, PHILADELPHIA, PA, 19142",R,PA,42,131409187,006700,19142
78,2017-2018,42,PENNSYLVANIA,PA,Mastery CS John Wister Elementary,Mastery CS John Wister Elementary,1,,PA-126518118,4200889,PA-126518118-8365,420088907599,4207599,5700 Wayne Avenue,,,Philadelphia,PA,19144,3314.0,67 E Bringhurst Street,,,Philadelphia,PA,19144,2338.0,(215)951-4003,http://www.masterycharter.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,67 E Bringhurst Street,4003,Philadelphia,"-75.166985,40.032253",101,"67 E Bringhurst Street, Philadelphia, PA, 19144",78,Exact,Match,40.032253,-75.166985,"67 E BRINGHURST ST, PHILADELPHIA, PA, 19144",L,PA,42,131401396,024500,19144
79,2017-2018,42,PENNSYLVANIA,PA,Provident CS,Provident CS,1,,PA-102027560,4200890,PA-102027560-8362,420089007574,4207574,1400 Troy Hill Road,,,Pittsburgh,PA,15212,,1400 Troy Hill Road,,,Pittsburgh,PA,15212,,(412)636-2014,http://www.providentcharterschool.org/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,102027451.0,Pittsburgh SD,,,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,03,06,Elementary,As reported,1400 Troy Hill Road,2011,Pittsburgh,"-79.98532,40.460163",003,"1400 Troy Hill Road, Pittsburgh, PA, 15212",79,Exact,Match,40.460163,-79.98532,"1400 TROY HILL RD, PITTSBURGH, PA, 15212",L,PA,42,51628229,240600,15212
80,2017-2018,42,PENNSYLVANIA,PA,MaST Community CS II,MaST Community CS II,1,,PA-126513117,4200891,PA-126513117-8360,420089107602,4207602,1800 East Byberry Road,,,Philadelphia,PA,19116,,6238 Rising Sun Avenue,,,Philadelphia,PA,19111,,(267)348-1215,http://mastccs.org/mast2/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,6238 Rising Sun Avenue,4006,Philadelphia,"-75.0978,40.047344",101,"6238 Rising Sun Avenue, Philadelphia, PA, 19111",80,Exact,Match,40.047344,-75.0978,"6238 RISING SUN AVE, PHILADELPHIA, PA, 19111",L,PA,42,131414938,030600,19111
81,2017-2018,42,PENNSYLVANIA,PA,Global Leadership Academy CS Southwest a,Global Leadership Academy CS Southwest at Huey,1,,PA-126518004,4200892,PA-126518004-8390,420089207595,4207595,5200 Pine Street,,,Philadelphia,PA,19143,,5200 Pine Street,,,Philadelphia,PA,19143,,(267)295-5700,http://www.glacharter.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,5200 Pine Street,4000,Philadelphia,"-75.22639,39.95354",101,"5200 Pine Street, Philadelphia, PA, 19143",81,Exact,Match,39.95354,-75.22639,"5200 PINE ST, PHILADELPHIA, PA, 19143",L,PA,42,131399273,008000,19143
82,2017-2018,42,PENNSYLVANIA,PA,Independence CS West,Independence CS West,1,,PA-126512039,4200893,PA-126512039-8361,420089307600,4207600,5600 Chester Avenue,,,Philadelphia,PA,19143,,5600 Chester Avenue,,,Philadelphia,PA,19143,,(215)724-5600,http://www.icswest.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,5600 Chester Avenue,2005,Philadelphia,"-75.22622,39.937363",101,"5600 Chester Avenue, Philadelphia, PA, 19143",82,Exact,Match,39.937363,-75.22622,"5600 CHESTER AVE, PHILADELPHIA, PA, 19143",L,PA,42,636465349,007101,19143
83,2017-2018,42,PENNSYLVANIA,PA,Easton Arts Academy Elementary CS,Easton Arts Academy Elementary CS,1,,PA-120486892,4200897,PA-120486892-8391,420089707625,4207625,PO Box 1208,,,Easton,PA,18044,,30 North Fourth Street,,,Easton,PA,18042,,(610)252-5500,http://www.easton-arts-charter-school.com/,3,New,3,New,03/16/2018,1,Regular School,No,No,Yes,120483302.0,Easton Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,30 North Fourth Street,3029,Easton,"-75.21119,40.691967",095,"30 North Fourth Street, Easton, PA, 18042",83,Exact,Match,40.691967,-75.21119,"30 N 4TH ST, EASTON, PA, 18042",L,PA,42,136883922,014400,18042
84,2017-2018,42,PENNSYLVANIA,PA,Clarks Summit El Sch,Abington Heights SD,1,,PA-119350303,4202010,PA-119350303-7570,420201000371,4200371,401 W Grove St,,,Clarks Summit,PA,18411,2025.0,401 W Grove St,,,Clarks Summit,PA,18411,2025.0,(570)585-7300,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,401 W Grove St,4027,Clarks Summit,"-75.703094,41.49022",069,"401 W Grove St, Clarks Summit, PA, 18411",84,Non_Exact,Match,41.49022,-75.703094,"401 W GROVE ST, CLARKS SUMMIT, PA, 18411",L,PA,42,139319562,110500,18411
85,2017-2018,42,PENNSYLVANIA,PA,Waverly Sch,Abington Heights SD,1,,PA-119350303,4202010,PA-119350303-2402,420201002402,4202402,103 Waverly Rd,,,Waverly,PA,18471,,103 Waverly Rd,,,Waverly,PA,18471,,(570)585-6300,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,103 Waverly Rd,1045,Waverly,"-75.71322,41.52394",069,"103 Waverly Rd, Waverly, PA, 18471",85,Exact,Match,41.52394,-75.71322,"103 WAVERLY RD, WAVERLY, PA, 18471",L,PA,42,606755416,110402,18471
86,2017-2018,42,PENNSYLVANIA,PA,Newton-Ransom Sch,Abington Heights SD,1,,PA-119350303,4202010,PA-119350303-2407,420201002407,4202407,1549 Newton Ransom Boulevard,,,Clarks Summit,PA,18411,9802.0,1549 Newton Ransom Boulevard,,,Clarks Summit,PA,18411,9802.0,(570)585-8300,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,1549 Newton Ransom Boulevard,2017,Clarks Summit,"-75.75031,41.476997",069,"1549 Newton Ransom Boulevard, Clarks Summit, PA, 18411",86,Exact,Match,41.476997,-75.75031,"1549 NEWTON RANSOM BLVD, CLARKS SUMMIT, PA, 18411",L,PA,42,618243678,112400,18411
87,2017-2018,42,PENNSYLVANIA,PA,South Abington Sch,Abington Heights SD,1,,PA-119350303,4202010,PA-119350303-6398,420201006398,4206398,640 Northern Boulevard,P.O. Box 163,,Chinchilla,PA,18410,,640 Northern Boulevard,,,Chinchilla,PA,18410,,(570)585-2100,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,640 Northern Boulevard,,Chinchilla,,,"640 Northern Boulevard, Chinchilla, PA, 18410",87,,No_Match,,,,,PA,,,,18410
88,2017-2018,42,PENNSYLVANIA,PA,Copper Beech Sch,Abington SD,1,,PA-123460302,4202040,PA-123460302-7707,420204000620,4200620,825 N Easton Road,,,Glenside,PA,19038,5236.0,825 N Easton Road,,,Glenside,PA,19038,5236.0,(215)881-2000,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,825 N Easton Road,1004,Glenside,"-75.139114,40.115314",091,"825 N Easton Road, Glenside, PA, 19038",88,Exact,Match,40.115314,-75.139114,"825 EASTON RD, GLENSIDE, PA, 19038",R,PA,42,135092212,201706,19038
89,2017-2018,42,PENNSYLVANIA,PA,Rydal East Sch,Abington SD,1,,PA-123460302,4202040,PA-123460302-3226,420204003226,4203226,1160 Huntingdon Pike,,,Huntingdon Valley,PA,19006,8325.0,1160 Huntingdon Pike,,,Huntingdon Valley,PA,19006,8325.0,(215)884-1308,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1160 Huntingdon Pike,1011,Huntingdon Valley,"-75.09069,40.098106",091,"1160 Huntingdon Pike, Huntingdon Valley, PA, 19006",89,Exact,Match,40.098106,-75.09069,"1160 HUNTINGDON PIKE, HUNTINGDON VALLEY, PA, 19006",L,PA,42,135095482,201502,19006
90,2017-2018,42,PENNSYLVANIA,PA,Highland Sch,Abington SD,1,,PA-123460302,4202040,PA-123460302-3229,420204003229,4203229,1301 Edge Hill Rd,,,Abington,PA,19001,,1301 Edge Hill Rd,,,Abington,PA,19001,,(215)884-1048,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1301 Edge Hill Rd,3001,Abington,"-75.12377,40.12369",091,"1301 Edge Hill Rd, Abington, PA, 19001",90,Exact,Match,40.12369,-75.12377,"1301 EDGE HILL RD, ABINGTON, PA, 19001",R,PA,42,135093049,201607,19001
91,2017-2018,42,PENNSYLVANIA,PA,Overlook Sch,Abington SD,1,,PA-123460302,4202040,PA-123460302-3232,420204003232,4203232,1750 Edge Hill Rd,,,Abington,PA,19001,,1750 Edge Hill Rd,,,Abington,PA,19001,,(215)657-0857,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1750 Edge Hill Rd,1024,Abington,"-75.11255,40.129757",091,"1750 Edge Hill Rd, Abington, PA, 19001",91,Exact,Match,40.129757,-75.11255,"1750 EDGE HILL RD, ABINGTON, PA, 19001",L,PA,42,135093261,201608,19001
92,2017-2018,42,PENNSYLVANIA,PA,Roslyn Sch,Abington SD,1,,PA-123460302,4202040,PA-123460302-3234,420204003234,4203234,2565 Susquehanna Street,,,Roslyn,PA,19001,3108.0,2565 Susquehanna Street,,,Roslyn,PA,19001,3108.0,(215)884-3368,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,2565 Susquehanna Street,2017,Roslyn,"-75.14056,40.125217",091,"2565 Susquehanna Street, Roslyn, PA, 19001",92,Non_Exact,Match,40.125217,-75.14056,"2565 SUSQUEHANNA RD, ROSLYN, PA, 19001",R,PA,42,135119177,201605,19001
93,2017-2018,42,PENNSYLVANIA,PA,Willow Hill Sch,Abington SD,1,,PA-123460302,4202040,PA-123460302-4910,420204004910,4204910,1700 Coolidge Avenue,,,Willow Grove,PA,19090,4439.0,1700 Coolidge Avenue,,,Willow Grove,PA,19090,4439.0,(215)657-3800,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1700 Coolidge Avenue,4000,Willow Grove,"-75.131355,40.13985",091,"1700 Coolidge Avenue, Willow Grove, PA, 19090",93,Exact,Match,40.13985,-75.131355,"1700 COOLIDGE AVE, WILLOW GROVE, PA, 19090",L,PA,42,135119158,201603,19090
94,2017-2018,42,PENNSYLVANIA,PA,McKinley Sch,Abington SD,1,,PA-123460302,4202040,PA-123460302-5075,420204005075,4205075,370 Cedar Rd,,,Elkins Park,PA,19027,1655.0,370 Cedar Rd,,,Elkins Park,PA,19027,1655.0,(215)663-0430,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,370 Cedar Rd,3000,Elkins Park,"-75.10625,40.080456",091,"370 Cedar Rd, Elkins Park, PA, 19027",94,Exact,Match,40.080456,-75.10625,"370 CEDAR RD, ELKINS PARK, PA, 19027",L,PA,42,135095990,201902,19027
95,2017-2018,42,PENNSYLVANIA,PA,George J Plava El Sch,Albert Gallatin Area SD,1,,PA-101260303,4202100,PA-101260303-2129,420210002129,4202129,120 Puritan Rd,,,Mc Clellandtown,PA,15458,9720.0,120 Puritan Rd,,,Mc Clellandtown,PA,15458,9720.0,(724)737-5424,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,120 Puritan Rd,4026,Mc Clellandtown,"-79.864365,39.88288",051,"120 Puritan Rd, Mc Clellandtown, PA, 15458",95,Exact,Match,39.88288,-79.864365,"120 PURITAN RD, MC CLELLANDTOWN, PA, 15458",R,PA,42,613523540,262900,15458
96,2017-2018,42,PENNSYLVANIA,PA,Smithfield El Sch,Albert Gallatin Area SD,1,,PA-101260303,4202100,PA-101260303-4921,420210004921,4204921,23 Liberty St,,,Smithfield,PA,15479,9705.0,23 Liberty St,,,Smithfield,PA,15479,9705.0,(724)569-9570,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,23 Liberty St,1019,Smithfield,"-79.80613,39.80122",051,"23 Liberty St, Smithfield, PA, 15479",96,Non_Exact,Match,39.80122,-79.80613,"23 LIBERTY ST, SMITHFIELD, PA, 15478",R,PA,42,51143138,263200,15479
97,2017-2018,42,PENNSYLVANIA,PA,Friendship Hill El Sch,Albert Gallatin Area SD,1,,PA-101260303,4202100,PA-101260303-4922,420210004922,4204922,218 New Geneva Rd,,,Point Marion,PA,15474,9722.0,218 New Geneva Rd,,,Point Marion,PA,15474,9722.0,(724)725-9515,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,218 New Geneva Rd,2069,Point Marion,"-79.92014,39.777462",051,"218 New Geneva Rd, Point Marion, PA, 15474",97,Exact,Match,39.777462,-79.92014,"218 NEW GENEVA RD, POINT MARION, PA, 15474",R,PA,42,636344114,263100,15474
98,2017-2018,42,PENNSYLVANIA,PA,Masontown El Sch,Albert Gallatin Area SD,1,,PA-101260303,4202100,PA-101260303-6002,420210006002,4206002,201 Spring St,,,Masontown,PA,15461,1896.0,201 Spring St,,,Masontown,PA,15461,1896.0,(724)583-1091,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,201 Spring St,,Masontown,,,"201 Spring St, Masontown, PA, 15461",98,,No_Match,,,,,PA,,,,15461
99,2017-2018,42,PENNSYLVANIA,PA,A L Wilson El Sch,Albert Gallatin Area SD,1,,PA-101260303,4202100,PA-101260303-8364,420210007575,4207575,100 Al Wilson Drive,,,Fairchance,PA,15436,1308.0,100 Al Wilson Drive,,,Fairchance,PA,15436,1308.0,(724)564-7434,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,100 Al Wilson Drive,,Fairchance,,,"100 Al Wilson Drive, Fairchance, PA, 15436",99,,No_Match,,,,,PA,,,,15436
100,2017-2018,42,PENNSYLVANIA,PA,Aliquippa El Sch,Aliquippa SD,1,,PA-127040503,4202130,PA-127040503-8085,420213000615,4200615,800 Twenty-First Street,,,Aliquippa,PA,15001,,800 Twenty-First Street,,,Aliquippa,PA,15001,,(724)857-7500,http://www.quispd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,800 Twenty-First Street,,Aliquippa,,,"800 Twenty-First Street, Aliquippa, PA, 15001",100,,No_Match,,,,,PA,,,,15001
101,2017-2018,42,PENNSYLVANIA,PA,Colfax Upper El Sch,Allegheny Valley SD,1,,PA-103020603,4202190,PA-103020603-0024,420219000024,4200024,430 Colfax St,,,Springdale,PA,15144,1299.0,430 Colfax St,,,Springdale,PA,15144,1299.0,(724)274-7200,http://www.avsdweb.org/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,04,06,Elementary,As reported,430 Colfax St,1009,Springdale,"-79.78426,40.544315",003,"430 Colfax St, Springdale, PA, 15144",101,Exact,Match,40.544315,-79.78426,"430 COLFAX ST, SPRINGDALE, PA, 15144",R,PA,42,624963742,417100,15144
102,2017-2018,42,PENNSYLVANIA,PA,Acmetonia Primary Sch,Allegheny Valley SD,1,,PA-103020603,4202190,PA-103020603-5296,420219005296,4205296,300 Pearl Street,,,Cheswick,PA,15024,1066.0,300 Pearl Street,,,Cheswick,PA,15024,1066.0,(724)274-6500,http://www.avsdweb.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,300 Pearl Street,2002,Cheswick,"-79.81627,40.543438",003,"300 Pearl Street, Cheswick, PA, 15024",102,Non_Exact,Match,40.543438,-79.81627,"300 PEARL AVE, CHESWICK, PA, 15024",R,PA,42,51708010,419000,15024
103,2017-2018,42,PENNSYLVANIA,PA,Hiram W Dodd El Sch,Allentown City SD,1,,PA-121390302,4202280,PA-121390302-2768,420228002768,4202768,1944 S Church St,,,Allentown,PA,18103,8690.0,1944 S Church St,,,Allentown,PA,18103,8690.0,(484)765-4501,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1944 S Church St,4008,Allentown,"-75.46048,40.577324",077,"1944 S Church St, Allentown, PA, 18103",103,Exact,Match,40.577324,-75.46048,"1944 S CHURCH ST, ALLENTOWN, PA, 18103",R,PA,42,629175755,001501,18103
104,2017-2018,42,PENNSYLVANIA,PA,Jefferson El Sch,Allentown City SD,1,,PA-121390302,4202280,PA-121390302-2774,420228002774,4202774,750 Saint John St,,,Allentown,PA,18103,3293.0,750 Saint John St,,,Allentown,PA,18103,3293.0,(484)765-4421,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,750 Saint John St,2021,Allentown,"-75.467926,40.59182",077,"750 Saint John St, Allentown, PA, 18103",104,Exact,Match,40.59182,-75.467926,"750 ST JOHN ST, ALLENTOWN, PA, 18103",L,PA,42,80773148,001401,18103
105,2017-2018,42,PENNSYLVANIA,PA,Lehigh Parkway El Sch,Allentown City SD,1,,PA-121390302,4202280,PA-121390302-2775,420228002775,4202775,1708 Coronado St,,,Allentown,PA,18103,4793.0,1708 Coronado St,,,Allentown,PA,18103,4793.0,(484)765-4441,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1708 Coronado St,1001,Allentown,"-75.48505,40.57751",077,"1708 Coronado St, Allentown, PA, 18103",105,Exact,Match,40.57751,-75.48505,"1708 CORONADO ST, ALLENTOWN, PA, 18103",L,PA,42,80770006,001402,18103
106,2017-2018,42,PENNSYLVANIA,PA,McKinley El Sch,Allentown City SD,1,,PA-121390302,4202280,PA-121390302-2777,420228002777,4202777,1124 W Turner St,,,Allentown,PA,18102,3897.0,1124 W Turner St,,,Allentown,PA,18102,3897.0,(484)765-5461,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,01,05,Elementary,As reported,1124 W Turner St,4018,Allentown,"-75.4823,40.602497",077,"1124 W Turner St, Allentown, PA, 18102",106,Non_Exact,Match,40.602497,-75.4823,"1124 W TURNER ST, ALLENTOWN, PA, 18102",L,PA,42,80767959,001800,18102
107,2017-2018,42,PENNSYLVANIA,PA,Mosser El Sch,Allentown City SD,1,,PA-121390302,4202280,PA-121390302-2779,420228002779,4202779,129 S Dauphin St,,,Allentown,PA,18109,2797.0,129 S Dauphin St,,,Allentown,PA,18109,2797.0,(484)765-5881,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,129 S Dauphin St,2047,Allentown,"-75.44604,40.608547",077,"129 S Dauphin St, Allentown, PA, 18109",107,Exact,Match,40.608547,-75.44604,"129 S DAUPHIN ST, ALLENTOWN, PA, 18109",L,PA,42,80772070,009600,18109
108,2017-2018,42,PENNSYLVANIA,PA,Muhlenberg El Sch,Allentown City SD,1,,PA-121390302,4202280,PA-121390302-2780,420228002780,4202780,740 N 21st St,,,Allentown,PA,18104,4088.0,740 N 21st St,,,Allentown,PA,18104,4088.0,(484)765-4861,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,740 N 21st St,3018,Allentown,"-75.505844,40.60525",077,"740 N 21st St, Allentown, PA, 18104",108,Non_Exact,Match,40.60525,-75.505844,"740 N 21ST ST, ALLENTOWN, PA, 18104",L,PA,42,80761533,002201,18104
109,2017-2018,42,PENNSYLVANIA,PA,Ritter El Sch,Allentown City SD,1,,PA-121390302,4202280,PA-121390302-2781,420228002781,4202781,790 N Plymouth Street,,,Allentown,PA,18109,2396.0,790 N Plymouth Street,,,Allentown,PA,18109,2396.0,(484)765-5661,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,790 N Plymouth Street,4011,Allentown,"-75.43213,40.621365",077,"790 N Plymouth Street, Allentown, PA, 18109",109,Exact,Match,40.621365,-75.43213,"790 N PLYMOUTH ST, ALLENTOWN, PA, 18109",L,PA,42,80772553,000102,18109
110,2017-2018,42,PENNSYLVANIA,PA,Roosevelt El Sch,Allentown City SD,1,,PA-121390302,4202280,PA-121390302-2782,420228002782,4202782,210 W Susquehanna St,,,Allentown,PA,18103,4197.0,210 W Susquehanna St,,,Allentown,PA,18103,4197.0,(484)765-4461,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,210 W Susquehanna St,,Allentown,,,"210 W Susquehanna St, Allentown, PA, 18103",110,,Tie,,,,,PA,,,,18103
111,2017-2018,42,PENNSYLVANIA,PA,Union Terrace El Sch,Allentown City SD,1,,PA-121390302,4202280,PA-121390302-2785,420228002785,4202785,1939 W Union St,,,Allentown,PA,18104,6795.0,1939 W Union St,,,Allentown,PA,18104,6795.0,(484)765-5481,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1939 W Union St,5014,Allentown,"-75.49507,40.592926",077,"1939 W Union St, Allentown, PA, 18104",111,Exact,Match,40.592926,-75.49507,"1939 UNION ST, ALLENTOWN, PA, 18104",R,PA,42,80769579,002100,18104
112,2017-2018,42,PENNSYLVANIA,PA,Washington El Sch,Allentown City SD,1,,PA-121390302,4202280,PA-121390302-2786,420228002786,4202786,837 N 9th St,,,Allentown,PA,18102,1494.0,837 N 9th St,,,Allentown,PA,18102,1494.0,(484)765-4941,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,01,05,Elementary,As reported,837 N 9th St,1026,Allentown,"-75.48131,40.613537",077,"837 N 9th St, Allentown, PA, 18102",112,Exact,Match,40.613537,-75.48131,"837 N 9TH ST, ALLENTOWN, PA, 18102",R,PA,42,80767697,001600,18102
